Ticket_ID,Subject,Description,Category,Priority,Timestamp
27,Feature Broken,App crashes when I click on Refresh.,Bug Report,Low,2025-07-18 00:28:07.454948
28,Feature Broken,The screen goes blank when I open billing.,Bug Report,High,2025-07-05 07:34:07.454948
29,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-09-12 23:07:07.454948
30,2FA Issue,My account is locked without reason.,Account Management,Medium,2025-07-27 11:52:07.454948
31,API Error,Integration with Slack is failing.,Technical Issue,High,2025-04-14 16:06:07.454948
32,API Error,Integration with Zapier is failing.,Technical Issue,High,2025-05-31 11:31:07.454948
33,Invoice Question,Refund request for unused service period.,Billing Inquiry,Medium,2025-08-16 11:55:07.454948
34,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-04-29 18:47:07.454948
35,Refund Request,Refund request for unused service period.,Billing Inquiry,Medium,2025-08-17 11:23:07.454948
36,App Crash,The search is not working after the latest update.,Bug Report,Critical,2025-07-24 00:10:07.454948
37,UX Improvement,Please consider adding dark mode support.,Feature Request,High,2025-04-20 02:52:07.454948
38,API Error,Server response time is too slow for file upload.,Technical Issue,Critical,2025-04-26 13:24:07.454948
39,Slow Performance,Integration with Zapier is failing.,Technical Issue,Medium,2025-04-18 20:46:07.454948
40,Double Charge,Refund request for unused service period.,Billing Inquiry,High,2025-07-04 18:51:07.454948
41,Feature Broken,Login fails even with correct credentials.,Bug Report,High,2025-06-09 00:33:07.454948
42,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-04-27 21:12:07.454948
43,Feature Broken,The search is not working after the latest update.,Bug Report,Medium,2025-08-27 03:34:07.454948
44,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-07-24 14:19:07.454948
45,Double Charge,Refund request for unused service period.,Billing Inquiry,High,2025-06-14 07:12:07.454948
46,Refund Request,I was charged twice for my subscription.,Billing Inquiry,High,2025-05-03 12:09:07.454948
47,API Error,Server response time is too slow for file upload.,Technical Issue,High,2025-06-26 14:03:07.454948
48,App Crash,The screen goes blank when I open profile.,Bug Report,High,2025-07-18 08:06:07.454948
49,Password Reset,Email not updating in profile settings.,Account Management,High,2025-04-07 02:14:07.454948
50,Account Locked,Email not updating in profile settings.,Account Management,Medium,2025-09-13 15:35:07.454948
51,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-04-29 14:51:07.454948
52,New Feature Suggestion,It would be great if we could upload file.,Feature Request,High,2025-07-05 10:17:07.454948
53,Connection Failed,I can't connect to the database despite correct settings.,Technical Issue,High,2025-08-14 03:30:07.454948
54,Account Locked,Two-factor authentication not working.,Account Management,High,2025-08-26 16:45:07.454948
55,Slow Performance,Server response time is too slow for data export.,Technical Issue,High,2025-07-09 08:39:07.454948
56,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-08-30 16:25:07.454948
57,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-05-12 02:54:07.454948
58,Slow Performance,Server response time is too slow for search query.,Technical Issue,Medium,2025-08-13 00:17:07.454948
59,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-08-21 21:49:07.454948
60,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,Critical,2025-07-03 23:15:07.454948
61,2FA Issue,Email not updating in profile settings.,Account Management,Critical,2025-05-20 14:46:07.454948
62,API Error,I can't connect to the API gateway despite correct settings.,Technical Issue,High,2025-08-07 16:11:07.454948
63,Account Locked,My account is locked without reason.,Account Management,High,2025-04-07 23:02:07.454948
64,Feature Broken,App crashes when I click on Save.,Bug Report,Low,2025-04-09 12:25:07.454948
65,Feature Broken,The screen goes blank when I open billing.,Bug Report,High,2025-04-14 18:15:07.454948
66,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Critical,2025-07-07 06:47:07.454948
67,New Feature Suggestion,I suggest improving the checkout for better usability.,Feature Request,High,2025-05-29 04:02:07.454948
68,App Crash,Login fails even with correct credentials.,Bug Report,Critical,2025-04-04 04:37:07.454948
69,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Medium,2025-09-05 13:23:07.454948
70,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-05-22 06:46:07.454948
71,UX Improvement,Please consider adding dark mode support.,Feature Request,High,2025-08-05 10:36:07.454948
72,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,Critical,2025-09-02 21:29:07.454948
73,Account Locked,Two-factor authentication not working.,Account Management,High,2025-04-16 06:40:07.454948
74,Password Reset,How do I delete my account permanently?,Account Management,Medium,2025-06-09 17:33:07.454948
75,Connection Failed,API returns 500 error when calling /api/payments.,Technical Issue,Low,2025-07-20 07:06:07.454948
76,Connection Failed,SSL certificate error on your domain.,Technical Issue,High,2025-05-05 22:58:07.454948
77,Slow Performance,API returns 500 error when calling /api/payments.,Technical Issue,Low,2025-04-04 07:53:07.454948
78,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,Critical,2025-07-11 04:22:07.454948
79,Account Locked,I can't reset my password.,Account Management,Medium,2025-04-02 19:18:07.454948
80,Login Error,App crashes when I click on Submit.,Bug Report,Medium,2025-07-13 02:16:07.454948
81,Invoice Question,Refund request for unused service period.,Billing Inquiry,Medium,2025-08-12 10:41:07.454948
82,Connection Failed,Integration with Slack is failing.,Technical Issue,Medium,2025-06-05 17:08:07.454948
83,API Error,API returns 500 error when calling /api/users.,Technical Issue,High,2025-06-11 05:49:07.454948
84,2FA Issue,I can't reset my password.,Account Management,Medium,2025-06-12 19:45:07.454948
85,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-06-17 05:11:07.454948
86,Login Error,App crashes when I click on Save.,Bug Report,Low,2025-04-20 03:27:07.454948
87,2FA Issue,My account is locked without reason.,Account Management,Critical,2025-04-02 02:53:07.454948
88,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Critical,2025-07-03 23:04:07.454948
89,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-08-02 04:08:07.454948
90,New Feature Suggestion,Can you add dark mode to the dashboard?,Feature Request,Medium,2025-07-10 06:43:07.454948
91,Login Error,The screen goes blank when I open profile.,Bug Report,Low,2025-08-02 21:39:07.454948
92,Feature Broken,The search is not working after the latest update.,Bug Report,Medium,2025-08-31 16:33:07.454948
93,Connection Failed,SSL certificate error on your domain.,Technical Issue,Critical,2025-09-06 18:11:07.454948
94,Connection Failed,Integration with Slack is failing.,Technical Issue,High,2025-05-13 23:41:07.454948
95,Connection Failed,Integration with Slack is failing.,Technical Issue,High,2025-07-24 12:17:07.454948
96,Slow Performance,SSL certificate error on your domain.,Technical Issue,High,2025-07-25 10:16:07.454948
97,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,Low,2025-07-25 06:46:07.454948
98,Account Locked,Two-factor authentication not working.,Account Management,High,2025-08-10 16:43:07.454948
99,App Crash,The export is not working after the latest update.,Bug Report,High,2025-04-07 03:02:07.454948
100,App Crash,Login fails even with correct credentials.,Bug Report,Medium,2025-04-29 23:03:07.454948
101,Connection Failed,API returns 500 error when calling /api/users.,Technical Issue,High,2025-04-24 15:51:07.454948
102,Login Error,Error message 'Connection lost' appears when I try to reset password.,Bug Report,Medium,2025-06-06 17:16:07.454948
103,Login Error,Error message '404' appears when I try to log in.,Bug Report,High,2025-07-03 19:15:07.454948
104,API Error,I can't connect to the email server despite correct settings.,Technical Issue,Medium,2025-07-16 04:11:07.454948
105,Password Reset,Two-factor authentication not working.,Account Management,Critical,2025-07-29 18:20:07.454948
106,Login Error,App crashes when I click on Delete.,Bug Report,Low,2025-07-17 01:53:07.454948
107,New Feature Suggestion,Add export to PDF functionality.,Feature Request,High,2025-07-12 17:47:07.454948
108,UX Improvement,Can you add export to the dashboard?,Feature Request,Low,2025-04-13 14:58:07.454948
109,Account Locked,Email not updating in profile settings.,Account Management,Medium,2025-08-07 09:28:07.454948
110,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-09-26 08:05:07.454948
111,Login Error,The screen goes blank when I open dashboard.,Bug Report,Medium,2025-06-12 14:37:07.454948
112,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Low,2025-05-08 02:15:07.454948
113,Feature Broken,App crashes when I click on Delete.,Bug Report,High,2025-08-14 10:01:07.454948
114,2FA Issue,Two-factor authentication not working.,Account Management,Low,2025-04-26 05:17:07.454948
115,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-04-29 08:51:07.454948
116,2FA Issue,I can't reset my password.,Account Management,High,2025-05-05 14:25:07.454948
117,UX Improvement,Please consider adding dark mode support.,Feature Request,High,2025-09-11 17:24:07.454948
118,2FA Issue,I can't reset my password.,Account Management,Medium,2025-05-23 23:56:07.454948
119,Connection Failed,API returns 500 error when calling /api/users.,Technical Issue,Critical,2025-07-01 00:50:07.454948
120,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-06-02 11:28:07.454948
121,Connection Failed,I can't connect to the database despite correct settings.,Technical Issue,High,2025-05-24 05:10:07.454948
122,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,High,2025-04-09 06:59:07.454948
123,Invoice Question,How do I upgrade my billing plan?,Billing Inquiry,High,2025-07-17 05:49:07.454948
124,Login Error,Error message '500' appears when I try to reset password.,Bug Report,Medium,2025-06-11 20:21:07.454948
125,API Error,SSL certificate error on your domain.,Technical Issue,High,2025-09-21 08:13:07.454948
126,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-06-22 07:51:07.454948
127,2FA Issue,My account is locked without reason.,Account Management,Critical,2025-07-24 03:57:07.454948
128,Feature Broken,Error message 'Timeout' appears when I try to reset password.,Bug Report,Low,2025-08-27 17:00:07.454948
129,2FA Issue,How do I delete my account permanently?,Account Management,Critical,2025-05-16 07:38:07.454948
130,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-04-05 05:30:07.454948
131,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-05-19 23:29:07.454948
132,Login Error,App crashes when I click on Delete.,Bug Report,Medium,2025-05-19 06:54:07.454948
133,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,Critical,2025-07-23 16:33:07.454948
134,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-09-02 13:59:07.454948
135,Slow Performance,API returns 500 error when calling /api/logs.,Technical Issue,High,2025-05-19 19:30:07.454948
136,New Feature Suggestion,Can you add export to the dashboard?,Feature Request,Low,2025-05-14 20:50:07.454948
137,New Feature Suggestion,It would be great if we could reset password.,Feature Request,Medium,2025-04-06 12:29:07.454948
138,Double Charge,Refund request for unused service period.,Billing Inquiry,Medium,2025-06-30 03:32:07.454948
139,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Low,2025-07-07 01:08:07.454948
140,New Feature Suggestion,I suggest improving the reporting for better usability.,Feature Request,Low,2025-09-24 05:05:07.454948
141,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-05-25 15:34:07.454948
142,UX Improvement,Can you add notifications to the dashboard?,Feature Request,High,2025-07-24 13:48:07.454948
143,Account Locked,How do I delete my account permanently?,Account Management,High,2025-06-17 09:36:07.454948
144,Password Reset,Email not updating in profile settings.,Account Management,Medium,2025-04-08 16:35:07.454948
145,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-04-06 11:42:07.454948
146,App Crash,Error message 'Connection lost' appears when I try to reset password.,Bug Report,Low,2025-04-06 07:56:07.454948
147,Slow Performance,Server response time is too slow for search query.,Technical Issue,Medium,2025-05-26 05:34:07.454948
148,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,Low,2025-05-19 19:15:07.454948
149,Feature Broken,The notifications is not working after the latest update.,Bug Report,High,2025-09-26 06:29:07.454948
150,Password Reset,Two-factor authentication not working.,Account Management,Low,2025-05-17 12:16:07.454948
151,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-04-14 01:31:07.454948
152,Account Locked,My account is locked without reason.,Account Management,High,2025-06-24 09:37:07.454948
153,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-07-17 02:53:07.454948
154,2FA Issue,How do I delete my account permanently?,Account Management,High,2025-07-06 08:58:07.454948
155,Login Error,The dark mode is not working after the latest update.,Bug Report,High,2025-09-06 04:40:07.454948
156,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-09-23 11:28:07.454948
157,Slow Performance,API returns 500 error when calling /api/logs.,Technical Issue,High,2025-04-28 23:30:07.454948
158,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-04-07 18:34:07.454948
159,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-05-02 01:21:07.454948
160,Double Charge,Refund request for unused service period.,Billing Inquiry,Medium,2025-06-30 16:32:07.454948
161,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,High,2025-09-03 21:27:07.454948
162,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Critical,2025-06-05 18:20:07.454948
163,Refund Request,Refund request for unused service period.,Billing Inquiry,High,2025-07-15 17:43:07.454948
164,UX Improvement,It would be great if we could upload file.,Feature Request,High,2025-04-01 20:10:07.454948
165,Login Error,The notifications is not working after the latest update.,Bug Report,High,2025-04-11 04:11:07.454948
166,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-05-23 22:32:07.454948
167,New Feature Suggestion,Can you add notifications to the dashboard?,Feature Request,Medium,2025-08-22 13:05:07.454948
168,API Error,Server response time is too slow for search query.,Technical Issue,Medium,2025-07-07 18:31:07.454948
169,Refund Request,Refund request for unused service period.,Billing Inquiry,Medium,2025-09-09 10:52:07.454948
170,UX Improvement,It would be great if we could log in.,Feature Request,Critical,2025-06-18 15:57:07.454948
171,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,Critical,2025-04-20 01:02:07.454948
172,Account Locked,My account is locked without reason.,Account Management,Medium,2025-07-27 04:29:07.454948
173,UX Improvement,Add export to PDF functionality.,Feature Request,Medium,2025-05-07 17:55:07.454948
174,App Crash,Error message '404' appears when I try to log in.,Bug Report,High,2025-07-12 17:00:07.454948
175,2FA Issue,My account is locked without reason.,Account Management,Low,2025-07-01 02:13:07.454948
176,New Feature Suggestion,Can you add notifications to the dashboard?,Feature Request,Medium,2025-07-21 22:31:07.454948
177,API Error,Integration with Salesforce is failing.,Technical Issue,High,2025-06-14 01:26:07.454948
178,API Error,Integration with Google Workspace is failing.,Technical Issue,High,2025-05-21 14:48:07.454948
179,Invoice Question,Refund request for unused service period.,Billing Inquiry,High,2025-08-23 04:25:07.454948
180,Refund Request,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-04-20 01:34:07.454948
181,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-06-02 13:10:07.454948
182,Connection Failed,API returns 500 error when calling /api/payments.,Technical Issue,Medium,2025-04-15 16:56:07.454948
183,New Feature Suggestion,Can you add notifications to the dashboard?,Feature Request,Medium,2025-07-21 05:36:07.454948
184,Feature Broken,The export is not working after the latest update.,Bug Report,High,2025-08-21 10:07:07.454948
185,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-07-29 20:45:07.454948
186,API Error,Server response time is too slow for data export.,Technical Issue,Low,2025-08-09 15:50:07.454948
187,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Medium,2025-09-22 02:13:07.454948
188,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-06-27 10:01:07.454948
189,Account Locked,My account is locked without reason.,Account Management,High,2025-09-13 18:36:07.454948
190,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Critical,2025-05-02 01:52:07.454948
191,Account Locked,My account is locked without reason.,Account Management,High,2025-05-26 20:07:07.454948
192,App Crash,Error message 'Connection lost' appears when I try to log in.,Bug Report,Low,2025-07-01 21:07:07.454948
193,API Error,I can't connect to the database despite correct settings.,Technical Issue,High,2025-08-18 06:07:07.454948
194,2FA Issue,How do I delete my account permanently?,Account Management,Medium,2025-04-22 19:22:07.454948
195,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-05-01 11:33:07.454948
196,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,High,2025-07-09 18:10:07.454948
197,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-05-30 18:48:07.454948
198,App Crash,The screen goes blank when I open settings.,Bug Report,High,2025-04-25 04:43:07.454948
199,Connection Failed,API returns 500 error when calling /api/payments.,Technical Issue,Critical,2025-09-20 00:52:07.454948
200,App Crash,Login fails even with correct credentials.,Bug Report,High,2025-04-20 08:14:07.454948
201,Password Reset,My account is locked without reason.,Account Management,High,2025-07-14 01:06:07.454948
202,2FA Issue,Two-factor authentication not working.,Account Management,Medium,2025-06-06 16:17:07.454948
203,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-08-07 07:40:07.454948
204,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,High,2025-09-02 03:16:07.454948
205,API Error,Integration with Salesforce is failing.,Technical Issue,Medium,2025-05-11 13:44:07.454948
206,Feature Broken,Error message 'Timeout' appears when I try to upload file.,Bug Report,High,2025-06-26 19:39:07.454948
207,Feature Broken,The notifications is not working after the latest update.,Bug Report,Medium,2025-08-12 09:45:07.454948
208,Account Locked,How do I delete my account permanently?,Account Management,Medium,2025-07-24 16:13:07.454948
209,UX Improvement,I suggest improving the onboarding for better usability.,Feature Request,Medium,2025-08-11 21:05:07.454948
210,Invoice Question,How do I upgrade my billing plan?,Billing Inquiry,High,2025-05-11 21:18:07.454948
211,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,High,2025-08-13 03:28:07.454948
212,2FA Issue,I can't reset my password.,Account Management,High,2025-04-15 21:53:07.454948
213,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,High,2025-04-27 16:38:07.454948
214,Slow Performance,Server response time is too slow for search query.,Technical Issue,High,2025-04-10 13:00:07.454948
215,2FA Issue,Two-factor authentication not working.,Account Management,Critical,2025-04-19 17:58:07.454948
216,Feature Broken,The screen goes blank when I open billing.,Bug Report,Medium,2025-05-27 22:01:07.454948
217,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,Critical,2025-05-15 02:17:07.454948
218,Slow Performance,I can't connect to the database despite correct settings.,Technical Issue,High,2025-05-03 01:33:07.454948
219,Feature Broken,The screen goes blank when I open dashboard.,Bug Report,Critical,2025-04-22 04:55:07.454948
220,Slow Performance,I can't connect to the cloud storage despite correct settings.,Technical Issue,High,2025-08-15 13:54:07.454948
221,Account Locked,I can't reset my password.,Account Management,High,2025-05-05 22:28:07.454948
222,Slow Performance,Integration with Google Workspace is failing.,Technical Issue,Medium,2025-06-29 10:01:07.454948
223,UX Improvement,Can you add search to the dashboard?,Feature Request,Medium,2025-06-07 01:31:07.454948
224,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,Low,2025-07-24 06:01:07.454948
225,Connection Failed,Integration with Salesforce is failing.,Technical Issue,High,2025-06-07 22:54:07.454948
226,Feature Broken,Login fails even with correct credentials.,Bug Report,Low,2025-06-27 17:50:07.454948
227,App Crash,App crashes when I click on Save.,Bug Report,Medium,2025-04-13 07:49:07.454948
228,App Crash,Login fails even with correct credentials.,Bug Report,Medium,2025-06-07 16:34:07.454948
229,App Crash,The screen goes blank when I open settings.,Bug Report,High,2025-04-09 20:27:07.454948
230,Login Error,The screen goes blank when I open profile.,Bug Report,Low,2025-09-22 10:05:07.454948
231,Connection Failed,Server response time is too slow for login.,Technical Issue,Low,2025-09-10 22:38:07.454948
232,API Error,I can't connect to the API gateway despite correct settings.,Technical Issue,Medium,2025-07-11 04:25:07.454948
233,Connection Failed,Server response time is too slow for data export.,Technical Issue,Critical,2025-06-16 00:16:07.454948
234,Connection Failed,SSL certificate error on your domain.,Technical Issue,Medium,2025-07-14 07:11:07.454948
235,Password Reset,Two-factor authentication not working.,Account Management,High,2025-08-02 16:09:07.454948
236,Slow Performance,Server response time is too slow for data export.,Technical Issue,High,2025-08-04 03:18:07.454948
237,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-04-21 15:11:07.454948
238,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-05-17 19:57:07.454948
239,Connection Failed,Server response time is too slow for search query.,Technical Issue,Critical,2025-08-02 13:59:07.454948
240,UX Improvement,Please consider adding dark mode support.,Feature Request,Medium,2025-05-02 06:57:07.454948
241,Connection Failed,SSL certificate error on your domain.,Technical Issue,Medium,2025-07-27 04:39:07.454948
242,New Feature Suggestion,It would be great if we could log in.,Feature Request,Medium,2025-08-09 23:33:07.454948
243,Account Locked,Email not updating in profile settings.,Account Management,High,2025-07-22 11:37:07.454948
244,2FA Issue,My account is locked without reason.,Account Management,Low,2025-07-05 11:46:07.454948
245,Feature Broken,Login fails even with correct credentials.,Bug Report,High,2025-09-26 10:01:07.454948
246,Slow Performance,Server response time is too slow for data export.,Technical Issue,Critical,2025-04-17 15:00:07.454948
247,App Crash,Login fails even with correct credentials.,Bug Report,High,2025-06-08 19:30:07.454948
248,App Crash,The screen goes blank when I open profile.,Bug Report,High,2025-08-20 05:38:07.454948
249,Double Charge,Refund request for unused service period.,Billing Inquiry,High,2025-08-28 03:43:07.454948
250,App Crash,The screen goes blank when I open billing.,Bug Report,High,2025-07-22 04:17:07.454948
251,UX Improvement,Please consider adding dark mode support.,Feature Request,Medium,2025-05-15 23:06:07.454948
252,New Feature Suggestion,Can you add dark mode to the dashboard?,Feature Request,High,2025-08-28 17:56:07.454948
253,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-07-28 18:11:07.454948
254,Invoice Question,Refund request for unused service period.,Billing Inquiry,Medium,2025-07-25 14:19:07.454948
255,Login Error,The export is not working after the latest update.,Bug Report,Critical,2025-09-10 16:28:07.454948
256,App Crash,The dark mode is not working after the latest update.,Bug Report,High,2025-08-24 11:21:07.454948
257,Account Locked,Two-factor authentication not working.,Account Management,High,2025-05-28 16:26:07.454948
258,API Error,SSL certificate error on your domain.,Technical Issue,High,2025-07-27 02:16:07.454948
259,New Feature Suggestion,I suggest improving the reporting for better usability.,Feature Request,Low,2025-04-18 01:15:07.454948
260,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-09-07 18:06:07.454948
261,API Error,I can't connect to the cloud storage despite correct settings.,Technical Issue,Medium,2025-09-18 19:34:07.454948
262,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-04-12 03:53:07.454948
263,Connection Failed,Server response time is too slow for login.,Technical Issue,High,2025-05-07 21:28:07.454948
264,UX Improvement,Please consider adding dark mode support.,Feature Request,High,2025-07-05 08:45:07.454948
265,Password Reset,Two-factor authentication not working.,Account Management,High,2025-07-18 07:12:07.454948
266,UX Improvement,It would be great if we could log in.,Feature Request,High,2025-09-09 19:06:07.454948
267,Account Locked,My account is locked without reason.,Account Management,Low,2025-09-20 23:09:07.454948
268,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,High,2025-08-01 13:42:07.454948
269,Slow Performance,API returns 500 error when calling /api/logs.,Technical Issue,High,2025-09-17 16:34:07.454948
270,New Feature Suggestion,Can you add search to the dashboard?,Feature Request,Low,2025-08-09 16:53:07.454948
271,Feature Broken,The dark mode is not working after the latest update.,Bug Report,Medium,2025-08-06 14:15:07.454948
272,App Crash,Login fails even with correct credentials.,Bug Report,Low,2025-07-31 01:07:07.454948
273,Account Locked,Email not updating in profile settings.,Account Management,Critical,2025-04-03 21:43:07.454948
274,Invoice Question,Refund request for unused service period.,Billing Inquiry,Medium,2025-04-05 05:38:07.454948
275,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,Critical,2025-04-24 11:10:07.454948
276,Login Error,Error message 'Connection lost' appears when I try to log in.,Bug Report,High,2025-08-28 06:14:07.454948
277,App Crash,The notifications is not working after the latest update.,Bug Report,Medium,2025-04-08 09:12:07.454948
278,2FA Issue,Email not updating in profile settings.,Account Management,Medium,2025-07-26 09:19:07.454948
279,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-04-16 21:00:07.454948
280,Login Error,The notifications is not working after the latest update.,Bug Report,Low,2025-04-08 05:53:07.454948
281,Connection Failed,SSL certificate error on your domain.,Technical Issue,High,2025-04-08 01:17:07.454948
282,Feature Broken,The dark mode is not working after the latest update.,Bug Report,Medium,2025-05-26 06:01:07.454948
283,API Error,API returns 500 error when calling /api/logs.,Technical Issue,High,2025-08-01 23:30:07.454948
284,Feature Broken,The screen goes blank when I open settings.,Bug Report,Medium,2025-09-03 09:27:07.454948
285,Password Reset,I can't reset my password.,Account Management,Critical,2025-05-16 12:26:07.454948
286,Login Error,The screen goes blank when I open billing.,Bug Report,Low,2025-06-28 22:51:07.454948
287,2FA Issue,Email not updating in profile settings.,Account Management,Critical,2025-08-16 14:10:07.454948
288,2FA Issue,My account is locked without reason.,Account Management,High,2025-08-09 07:39:07.454948
289,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-06-23 10:22:07.454948
290,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Low,2025-05-25 23:22:07.454948
291,Login Error,The dark mode is not working after the latest update.,Bug Report,Critical,2025-09-07 00:06:07.454948
